模型名称,BFI_总体偏差,行为_总体偏差,行为比BFI多偏离,BFI_高特质总体偏差,BFI_低特质总体偏差,行为_高特质总体偏差,行为_低特质总体偏差,BFI_外向性_高特质均值,BFI_外向性_高特质标准差,BFI_外向性_高特质偏差,BFI_外向性_低特质均值,BFI_外向性_低特质标准差,BFI_外向性_低特质偏差,BFI_外向性_差值,行为_外向性_高特质均值,行为_外向性_高特质标准差,行为_外向性_高特质偏差,行为_外向性_低特质均值,行为_外向性_低特质标准差,行为_外向性_低特质偏差,行为_外向性_差值,BFI_宜人性_高特质均值,BFI_宜人性_高特质标准差,BFI_宜人性_高特质偏差,BFI_宜人性_低特质均值,BFI_宜人性_低特质标准差,BFI_宜人性_低特质偏差,BFI_宜人性_差值,行为_宜人性_高特质均值,行为_宜人性_高特质标准差,行为_宜人性_高特质偏差,行为_宜人性_低特质均值,行为_宜人性_低特质标准差,行为_宜人性_低特质偏差,行为_宜人性_差值,BFI_尽责性_高特质均值,BFI_尽责性_高特质标准差,BFI_尽责性_高特质偏差,BFI_尽责性_低特质均值,BFI_尽责性_低特质标准差,BFI_尽责性_低特质偏差,BFI_尽责性_差值,行为_尽责性_高特质均值,行为_尽责性_高特质标准差,行为_尽责性_高特质偏差,行为_尽责性_低特质均值,行为_尽责性_低特质标准差,行为_尽责性_低特质偏差,行为_尽责性_差值,BFI_神经质_高特质均值,BFI_神经质_高特质标准差,BFI_神经质_高特质偏差,BFI_神经质_低特质均值,BFI_神经质_低特质标准差,BFI_神经质_低特质偏差,BFI_神经质_差值,行为_神经质_高特质均值,行为_神经质_高特质标准差,行为_神经质_高特质偏差,行为_神经质_低特质均值,行为_神经质_低特质标准差,行为_神经质_低特质偏差,行为_神经质_差值,BFI_开放性_高特质均值,BFI_开放性_高特质标准差,BFI_开放性_高特质偏差,BFI_开放性_低特质均值,BFI_开放性_低特质标准差,BFI_开放性_低特质偏差,BFI_开放性_差值,行为_开放性_高特质均值,行为_开放性_高特质标准差,行为_开放性_高特质偏差,行为_开放性_低特质均值,行为_开放性_低特质标准差,行为_开放性_低特质偏差,行为_开放性_差值
ernie-5.1,0.285,0.577,0.292,0.216,0.354,0.726,0.428,4.1,0.017,0.1,1.67,0.0,-0.33,2.43,2.88,0.53,-1.12,1.53,0.059,-0.47,1.35,3.57,0.035,-0.43,1.47,0.03,-0.53,2.1,3.55,0.175,-0.45,2.76,0.352,0.76,0.79,3.78,0.0,-0.22,1.92,0.0,-0.08,1.86,2.98,0.144,-1.02,1.99,0.219,-0.01,0.99,4.05,0.046,0.05,1.17,0.0,-0.83,2.88,3.17,0.885,-0.83,2.49,0.919,0.49,0.68,4.28,0.0,0.28,2.0,0.0,0.0,2.28,3.79,0.408,-0.21,2.41,0.296,0.41,1.38
gemini-3.1-pro-preview,0.189,0.561,0.372,0.21,0.168,0.69,0.432,4.08,0.211,0.08,1.97,0.046,-0.03,2.11,2.33,0.027,-1.67,1.53,0.059,-0.47,0.8,4.05,0.046,0.05,1.96,0.064,-0.04,2.09,3.55,0.202,-0.45,2.76,0.352,0.76,0.79,3.54,0.259,-0.46,2.0,0.0,0.0,1.54,3.42,0.893,-0.58,2.31,0.674,0.31,1.11,3.58,0.085,-0.42,1.23,0.087,-0.77,2.35,3.52,0.79,-0.48,2.21,0.679,0.21,1.32,4.04,0.064,0.04,2.0,0.0,0.0,2.04,4.27,0.485,0.27,2.41,0.296,0.41,1.86
glm-5,0.161,0.406,0.245,0.156,0.166,0.474,0.338,4.03,0.046,0.03,1.92,0.144,-0.08,2.11,2.6,0.797,-1.4,1.53,0.059,-0.47,1.07,4.03,0.046,0.03,1.83,0.085,-0.17,2.19,3.95,0.367,-0.05,2.76,0.352,0.76,1.2,4.08,0.0,0.08,1.95,0.046,-0.05,2.13,4.22,0.101,0.22,1.99,0.219,-0.01,2.24,4.25,0.08,0.25,1.53,0.046,-0.47,2.72,3.99,0.522,-0.01,2.04,0.706,0.04,1.95,4.39,0.052,0.39,1.94,0.098,-0.06,2.45,4.69,0.104,0.69,2.41,0.296,0.41,2.28
gpt-4o,0.477,0.494,0.017,0.432,0.522,0.458,0.53,3.06,0.098,-0.94,2.17,0.0,0.17,0.89,3.18,0.378,-0.82,2.06,0.415,0.06,1.13,4.0,0.0,0.0,2.72,0.092,0.72,1.28,3.95,0.367,-0.05,2.76,0.352,0.76,1.2,3.72,0.092,-0.28,2.78,0.092,0.78,0.95,3.5,0.085,-0.5,2.31,0.238,0.31,1.19,3.78,0.092,-0.22,2.44,0.098,0.44,1.33,3.35,0.768,-0.65,2.68,0.638,0.68,0.67,3.28,0.092,-0.72,2.5,0.17,0.5,0.78,3.73,0.072,-0.27,2.84,0.091,0.84,0.88
gpt-5.4,0.669,0.739,0.07,0.984,0.354,0.826,0.652,2.83,0.0,-1.17,1.83,0.0,-0.17,1.0,2.96,0.925,-1.04,2.58,0.77,0.58,0.38,3.33,0.0,-0.67,1.64,0.052,-0.36,1.69,2.76,0.352,-1.24,2.76,0.352,0.76,0.0,3.0,0.0,-1.0,1.61,0.052,-0.39,1.39,2.92,0.226,-1.08,2.31,0.238,0.31,0.61,2.0,0.0,-2.0,1.45,0.046,-0.55,0.55,3.44,0.937,-0.56,2.86,1.251,0.86,0.58,4.08,0.144,0.08,1.7,0.046,-0.3,2.39,3.79,0.408,-0.21,2.75,0.273,0.75,1.04
minimax-m2.5,0.5,0.765,0.265,0.316,0.684,0.568,0.962,3.47,0.176,-0.53,2.69,0.127,0.69,0.78,3.52,0.494,-0.48,2.74,0.549,0.74,0.78,3.75,0.298,-0.25,2.2,0.254,0.2,1.55,3.13,0.879,-0.87,2.76,0.352,0.76,0.37,4.17,0.289,0.17,2.61,0.098,0.61,1.55,3.44,0.64,-0.56,2.62,0.197,0.62,0.82,3.65,0.281,-0.35,1.58,0.085,-0.42,2.07,3.21,0.513,-0.79,3.08,0.743,1.08,0.13,4.28,0.128,0.28,3.5,0.366,1.5,0.78,3.86,0.514,-0.14,3.61,0.235,1.61,0.25
qwen3-1.7b,0.941,0.918,-0.023,0.654,1.228,0.904,0.932,3.45,0.046,-0.55,3.03,0.046,1.03,0.42,2.78,1.034,-1.22,2.65,0.852,0.65,0.13,3.5,0.0,-0.5,3.47,0.046,1.47,0.03,3.75,0.651,-0.25,3.15,0.202,1.15,0.6,3.5,0.0,-0.5,3.5,0.0,1.5,0.0,2.92,0.226,-1.08,2.2,0.212,0.2,0.72,2.78,0.128,-1.22,2.7,0.046,0.7,0.08,2.39,0.284,-1.61,3.2,0.966,1.2,-0.81,3.5,0.0,-0.5,3.44,0.098,1.44,0.06,3.64,0.54,-0.36,3.46,0.3,1.46,0.18
qwen3-235b-a22b-thinking-2507,0.264,0.319,0.055,0.132,0.396,0.308,0.33,4.05,0.046,0.05,1.64,0.172,-0.36,2.42,3.86,0.691,-0.14,1.53,0.059,-0.47,2.33,4.11,0.052,0.11,1.58,0.0,-0.42,2.53,3.86,0.056,-0.14,2.76,0.352,0.76,1.11,4.08,0.085,0.08,1.86,0.052,-0.14,2.22,3.87,0.605,-0.13,1.99,0.219,-0.01,1.88,4.14,0.052,0.14,1.19,0.098,-0.81,2.95,3.29,0.883,-0.71,2.0,0.636,-0.0,1.29,4.28,0.176,0.28,1.75,0.08,-0.25,2.53,4.42,0.272,0.42,2.41,0.296,0.41,2.01
qwen3-32b,0.637,0.682,0.045,0.806,0.468,0.684,0.68,3.03,0.046,-0.97,1.58,0.0,-0.42,1.45,3.26,1.077,-0.74,1.53,0.059,-0.47,1.73,4.03,0.046,0.03,1.58,0.0,-0.42,2.45,4.79,0.298,0.79,2.76,0.352,0.76,2.03,3.0,0.0,-1.0,1.5,0.0,-0.5,1.5,2.92,0.226,-1.08,2.31,0.238,0.31,0.61,2.8,0.046,-1.2,1.5,0.0,-0.5,1.3,3.3,0.665,-0.7,3.45,0.934,1.45,-0.15,3.17,0.0,-0.83,1.5,0.0,-0.5,1.67,3.89,0.054,-0.11,2.41,0.296,0.41,1.48
qwen3-8b,0.492,0.678,0.186,0.216,0.768,0.358,0.998,3.67,0.0,-0.33,3.0,0.0,1.0,0.67,3.57,0.635,-0.43,2.72,0.576,0.72,0.86,4.08,0.0,0.08,1.83,0.0,-0.17,2.25,3.95,0.367,-0.05,2.76,0.352,0.76,1.2,3.83,0.0,-0.17,3.0,0.0,1.0,0.83,3.87,0.605,-0.13,2.3,0.654,0.3,1.57,3.83,0.0,-0.17,2.67,0.0,0.67,1.16,3.24,1.043,-0.76,3.35,0.893,1.35,-0.11,3.67,0.0,-0.33,3.0,0.0,1.0,0.67,4.42,0.272,0.42,3.86,0.514,1.86,0.56
